programkode,studentnr,karakter,vurderingsstatus,year,semester
BIT,705333,F,Ikke bestått,2010,v
BIT,705333,,Ikke møtt,2011,v
BIT,705336,D,Bestått,2010,v
BIT,705336,,Gyldig fravær,2011,v
BIT,705337,D,Bestått,2010,v
BIT,705338,E,Bestått,2010,v
BIT,705339,C,Bestått,2012,v
BIT,705340,B,Bestått,2010,v
BIT,705342,,Ikke møtt,2012,v
BIT,705343,E,Bestått,2010,v
BIT,705343,E,Bestått,2011,v
BIT,705344,,Ikke møtt,2010,v
BIT,705347,F,Ikke bestått,2010,v
BIT,705347,E,Bestått,2010,s
BIT,705347,,Ikke møtt,2012,v
BIT,705349,,Manglende øvinger,2010,v
BIT,705349,F,Ikke bestått,2011,v
BIT,705349,D,Bestått,2012,v
BIT,705350,,Ikke møtt,2011,v
BIT,705356,B,Bestått,2010,v
BIT,705357,E,Bestått,2010,v
BIT,705359,F,Ikke bestått,2010,v
BIT,705359,F,Ikke bestått,2011,v
BIT,705359,E,Bestått,2012,v
BIT,705361,D,Bestått,2010,v
BIT,705362,,Trekk under eksamen (Avbrutt eksamen),2010,v
BIT,705362,,Ikke møtt,2010,s
BIT,705362,,Ikke møtt,2011,v
BIT,705362,F,Ikke bestått,2012,v
BIT,705362,F,Ikke bestått,2012,s
BIT,705364,C,Bestått,2010,v
BIT,705365,,Trekk under eksamen (Avbrutt eksamen),2010,v
BIT,705365,F,Ikke bestått,2010,s
BIT,705365,,Trekk under eksamen (Avbrutt eksamen),2011,v
BIT,705365,E,Bestått,2011,s
BIT,705370,C,Bestått,2010,v
BIT,705373,F,Ikke bestått,2010,v
BIT,705373,C,Bestått,2011,v
BIT,705382,C,Bestått,2010,v
BIT,705383,F,Ikke bestått,2010,v
BIT,705383,,Ikke møtt,2010,s
BIT,705383,,Trekk under eksamen (Avbrutt eksamen),2011,v
BIT,705383,C,Bestått,2011,s
BIT,705385,,Trekk under eksamen (Avbrutt eksamen),2010,s
BIT,705385,,Trekk under eksamen (Avbrutt eksamen),2011,s
BIT,705385,,Trekk under eksamen (Avbrutt eksamen),2012,v
BIT,705385,,Trekk under eksamen (Avbrutt eksamen),2013,v
BIT,705385,,Ikke møtt,2013,s
BIT,705385,,Trekk under eksamen (Avbrutt eksamen),2014,v
BIT,705385,,Ikke møtt,2015,v
BIT,705385,,Legeattest,2016,v
BIT,705388,F,Ikke bestått,2010,s
BIT,705388,C,Bestått,2011,v
BIT,705400,A,Bestått,2012,v
BIT,705409,,Gyldig fravær,2010,v
BIT,705409,,Ikke møtt,2010,s
BIT,705409,E,Bestått,2012,v
BIT,705409,D,Bestått,2013,v
BIT,705662,,Manglende øvinger,2016,v
BIT,705738,,Manglende øvinger,2011,v
BIT,705738,,Manglende øvinger,2012,v
BIT,705738,,Manglende øvinger,2013,v
BIT,705775,,Trekk under eksamen (Avbrutt eksamen),2017,v
BIT,705775,C,Bestått,2017,s
BIT,705809,F,Ikke bestått,2010,v
BIT,705809,F,Ikke bestått,2010,s
BIT,705809,D,Bestått,2011,v
BIT,705809,E,Bestått,2012,v
BIT,705867,B,Bestått,2016,v
BIT,707257,B,Bestått,2010,v
BIT,707349,B,Bestått,2012,v
BIT,707730,,Ikke møtt,2010,v
BIT,707730,,Trekk under eksamen (Avbrutt eksamen),2012,v
BIT,707730,,Trekk under eksamen (Avbrutt eksamen),2013,v
BIT,707730,,Ikke møtt,2013,s
BIT,707730,,Trekk under eksamen (Avbrutt eksamen),2014,v
BIT,707730,F,Ikke bestått,2014,s
BIT,707730,,Trekk under eksamen (Avbrutt eksamen),2015,v
BIT,708347,C,Bestått,2010,v
